location_id,location_address,rate,reviewAvg,totalReview,serviceFee,occupancyTax
0,"0630 Stoltenberg View, Demarioshire, Wisconsin",48,1.59,346,6,4
1,"0632 Efren Courts, Brigittemouth, Oregon",87,2.86,303,7,6
2,"993 Muller Dale, East Guy, New Hampshire",22,4.98,100,9,1
3,"7900 Windler Cliffs, Stantonchester, West Virginia",56,3.33,407,5,6
4,"881 Gorczany Mountain, Port Reymundo, Missouri",73,2.98,448,9,6
5,"6352 Hettinger Green, Fritschfort, Louisiana",98,4.44,422,8,6
6,"5562 Shanelle Cape, East Chesterville, South Dakota",23,4.62,197,8,7
7,"753 Streich Expressway, Violaside, Louisiana",33,3.70,124,9,6
8,"8651 Larry Fields, Angelbury, South Dakota",62,3.75,391,7,3
9,"7953 Mekhi Stream, Skilesfort, Idaho",54,0.95,68,7,4
10,"2587 Kuhic Bridge, Greenhaven, Virginia",35,4.93,269,8,3
11,"355 King Port, Phoebeview, Maryland",78,3.08,250,9,6
12,"4640 Eldon Rue, Rutherfordchester, Illinois",29,4.59,171,9,7
13,"091 Anika Fall, Raymundoburgh, Alaska",58,4.53,224,5,2
14,"4016 Zieme Forges, Zionshire, Alabama",74,3.29,393,6,7
15,"3725 Dimitri Path, Lavernetown, Hawaii",70,4.51,301,8,7
16,"8920 Stroman Hollow, Lake Iva, Nebraska",94,1.37,231,9,7
17,"1149 Schneider Burgs, South Wellington, Indiana",80,2.99,492,6,7
18,"32778 Wisoky Squares, Mattport, Arizona",82,3.61,223,7,4
19,"8977 Bernier Station, North Melany, Rhode Island",83,1.14,447,8,4
20,"33177 Maggio Tunnel, South Ledahaven, Wyoming",41,3.97,496,6,3
21,"7324 Amya Motorway, North Samirview, New Mexico",61,0.90,297,5,4
22,"0712 Rohan Loop, New Kirk, Kansas",98,2.15,252,8,6
23,"61587 Watsica Villages, Leonfort, Delaware",41,0.66,127,9,7
24,"814 Dach Port, East Declan, Ohio",79,2.03,379,5,2
25,"7855 Connelly Summit, West Thelma, Maine",35,0.44,438,6,5
26,"335 Hintz Estates, New Loy, Tennessee",70,4.43,382,8,5
27,"699 Leland Station, Port Carolynbury, Kansas",74,3.63,200,5,5
28,"771 Lelia Street, Port Kade, New Jersey",55,4.67,260,8,2
29,"776 Alba Dam, Lake Cletushaven, Maine",27,1.80,316,9,7
30,"5731 Maynard Forge, Ethelberg, Alabama",55,2.77,317,9,7
31,"771 Ziemann Road, North Flavie, California",21,1.17,404,7,1
32,"7275 Pagac Pines, Langworthview, Maryland",82,1.98,73,9,6
33,"12127 Grant Stravenue, Lake Leonardo, Maine",68,3.57,183,8,7
34,"65150 Jolie Radial, West Nyasia, Alaska",54,4.68,65,7,4
35,"468 Damon Plains, Reingerbury, New Hampshire",97,0.58,462,6,7
36,"229 Batz Skyway, Lake Tessie, Illinois",45,4.34,325,8,4
37,"11988 Little Fords, Lake Veda, Idaho",88,3.11,190,7,6
38,"2316 Elyssa Square, Port Kathryneville, Nevada",92,0.56,448,9,5
39,"323 Irma Village, Port Lynnton, West Virginia",91,0.70,432,6,5
40,"2042 Junior Crossing, West Lowell, Utah",51,0.62,60,8,2
41,"965 Dayana Gardens, Hartmannville, Rhode Island",49,0.60,223,8,1
42,"167 Farrell Dale, Maximusshire, West Virginia",41,0.97,79,6,4
43,"951 Feil Street, West Conor, Alabama",28,0.04,109,6,4
44,"456 Mara Crossing, Brennonland, Missouri",45,0.96,285,5,1
45,"29797 Lesch Estates, Welchmouth, Michigan",86,0.85,201,5,4
46,"189 Collier Highway, New Serenityborough, Iowa",73,3.47,379,9,7
47,"52186 Rippin Fork, Paigefort, Arkansas",26,3.14,290,9,5
48,"7655 Samir Hills, Gibsonmouth, Utah",44,3.94,252,5,4
49,"5013 Bruen Plain, New Gabriella, West Virginia",86,3.28,94,5,3
50,"805 Chyna Cliffs, New Arnoldmouth, Pennsylvania",96,3.83,475,6,1
51,"23644 Hegmann Run, Rhiannonburgh, New Hampshire",45,2.86,466,8,4
52,"35105 Dare Mountains, South Omer, South Dakota",50,4.21,62,5,4
53,"105 Zachery Ports, Wayneberg, Wyoming",78,4.27,464,5,4
54,"10740 Cassin Keys, South Josefachester, Connecticut",64,1.96,188,9,2
55,"22608 Pollich Road, Lake Ray, Georgia",77,2.04,483,8,3
56,"713 Harold Vista, Handchester, Rhode Island",93,2.07,100,6,6
57,"644 Carmelo Via, Antwanchester, Louisiana",85,4.27,103,7,6
58,"57392 Ondricka Glen, North Earnestineberg, Tennessee",37,0.97,228,8,5
59,"4758 Littel Roads, West Dorothea, Vermont",51,0.55,375,9,1
60,"4234 Rollin Drive, East Polly, Alaska",42,2.17,80,7,7
61,"21709 Langosh Overpass, New Kaitlynchester, Tennessee",78,0.08,94,6,2
62,"8721 Kuhic Shoals, East Quinn, New York",20,1.40,277,9,6
63,"44922 Cormier Valleys, Emilieport, Virginia",56,0.29,163,5,1
64,"689 Goyette Spurs, Crooksside, Idaho",40,3.06,389,7,3
65,"68320 Iva Greens, Port Lilyanville, Arkansas",93,1.74,110,7,4
66,"80654 Floyd Port, Hirtheview, New York",87,1.80,483,7,5
67,"18086 Jerde Course, South Johan, North Dakota",25,3.79,378,9,3
68,"942 Herzog Flats, West Saulshire, West Virginia",67,3.87,157,5,3
69,"558 Hilario Parkway, East Vicenta, Oregon",24,1.77,319,7,4
70,"197 Novella Lane, Lake Zanderborough, Hawaii",81,0.14,492,7,2
71,"986 Danial Spring, Lake Joyside, Oregon",20,3.05,380,5,2
72,"2440 Noemi Inlet, Stonehaven, Alaska",49,3.58,183,7,6
73,"52840 Conroy Squares, Abdullahmouth, Hawaii",74,1.31,476,9,7
74,"665 Leannon Courts, North Corrineshire, Connecticut",25,1.58,105,5,4
75,"44656 Rae Stravenue, Lueilwitzburgh, Wisconsin",40,4.16,260,6,7
76,"4212 Boyer Cove, North Garrisonfurt, Illinois",73,2.50,386,5,3
77,"75893 Edyth Crest, West Jacinthe, Oklahoma",85,2.68,361,7,7
78,"35253 Schmitt Grove, Port Hilarioborough, Maine",40,1.72,390,5,6
79,"66945 Kautzer Branch, North Jacquesfurt, Kansas",83,1.75,413,9,1
80,"91894 Noah Squares, Kaylinview, Missouri",80,4.26,386,7,7
81,"17474 Rolfson Lodge, Lizethland, Arizona",77,0.17,497,6,1
82,"8265 Verner Glen, Reubenburgh, New Hampshire",97,2.58,411,6,5
83,"69146 Ansley Route, Port Opalhaven, Idaho",23,2.02,92,9,2
84,"522 Kaitlin Valleys, Josefinaton, Maine",80,0.57,362,8,2
85,"6802 Keon Courts, Anabelleborough, Oregon",42,4.41,77,6,3
86,"8037 Botsford Ford, New Kelli, Mississippi",52,4.85,280,9,3
87,"18071 Wiegand Mall, Andreland, New York",58,1.40,202,5,2
88,"51375 Thompson Pike, South Mariaburgh, Delaware",86,0.34,289,7,1
89,"536 Izaiah Centers, Bellview, Virginia",56,0.85,475,5,1
90,"25640 Marshall Terrace, Kolemouth, Colorado",30,1.00,121,9,3
91,"517 Daugherty Cliffs, West Kirk, North Carolina",89,2.48,283,5,5
92,"047 Reilly Knolls, Dangelotown, Wyoming",55,4.18,86,7,7
93,"64514 Feest Ranch, Lake Kathlynbury, Missouri",32,3.82,317,9,6
94,"1311 Greenfelder Fork, Douglasview, Massachusetts",48,0.68,288,5,7
95,"85019 Layne Creek, South Caliland, Iowa",79,3.20,417,8,1
96,"388 Russel Ferry, Brekkemouth, Hawaii",55,4.95,98,7,5
97,"8656 Ryan Valley, West Isobel, Wyoming",60,2.66,370,5,6
98,"4082 Rosalee Course, West Marcellebury, West Virginia",34,2.52,294,7,1
99,"350 Robel Skyway, Lake Wilburnport, Utah",46,0.96,88,9,4
100,"5966 Cordell Ramp, Amirborough, West Virginia",77,2.47,80,6,7
101,"461 Eloy Ridge, Gailmouth, Virginia",70,3.00,453,6,7
102,"9345 McKenzie Meadows, South Selenaberg, Massachusetts",97,1.71,207,5,5
103,"783 Runolfsdottir Plaza, Waldoport, New York",52,4.98,238,5,3
104,"678 Genoveva Highway, Destineymouth, Missouri",54,3.20,447,6,2
105,"6652 Becker Falls, West Jennifer, Florida",32,3.63,79,6,6
106,"318 Iliana Station, East Bernadette, Tennessee",32,2.71,88,5,5
107,"91514 Howe Parkways, North Hailie, Kansas",82,0.28,209,5,4
108,"041 Wayne Stream, Roxannechester, North Dakota",94,0.39,230,5,1
109,"91111 Nikolaus Light, Wehnershire, Louisiana",45,2.71,252,8,5
110,"62782 Lila Pine, Beahanshire, Colorado",21,3.19,227,9,3
111,"053 Gottlieb Walks, Hacketttown, Oregon",31,4.55,498,9,1
112,"66717 Morissette Plain, Wisozkchester, Louisiana",40,3.29,274,5,5
113,"302 Zieme Coves, Turnershire, Georgia",58,0.90,336,5,1
114,"4873 Lind Valley, South Rozellachester, North Carolina",34,4.23,144,6,6
115,"21759 Parker Stravenue, MacGyvershire, Oklahoma",51,1.27,307,7,6
116,"9525 Price View, Carrollbury, Washington",76,0.27,106,8,3
117,"3801 Nicolas Rue, South Alex, Wyoming",43,3.64,251,8,4
118,"718 Whitney Crossing, Vidalbury, Wyoming",47,3.03,177,8,3
119,"4354 Winfield Creek, South Elena, Alaska",92,4.35,363,5,2
120,"139 Corkery Trail, Citlalliview, Delaware",38,3.61,335,9,5
121,"1463 Jerde Port, New Harleyton, Alabama",23,4.54,77,5,3
122,"1409 Rohan Summit, South Elwin, Oklahoma",20,0.51,313,6,2
123,"964 Keebler Knolls, Lake Ryleeville, Louisiana",57,4.74,335,8,3
124,"41311 Roberts Point, Edwinport, Idaho",75,4.03,237,6,2
125,"3292 Jacquelyn Green, Port Claudia, Wyoming",82,4.66,436,6,7
126,"397 Daniela Heights, West Harvey, South Dakota",94,2.26,280,7,4
127,"05437 Turner Mews, East Zechariahbury, North Carolina",28,2.05,340,7,2
128,"006 German Cape, South Connorhaven, South Carolina",22,1.09,121,6,3
129,"5160 Koepp Mount, New Antonetteshire, Oregon",27,2.04,88,9,4
130,"42321 Ankunding Courts, New Adeline, Ohio",22,1.51,249,5,4
131,"96357 Bogisich Bridge, South Jocelyn, Illinois",89,4.32,281,6,5
132,"362 Krajcik Coves, Reinaborough, Pennsylvania",24,4.78,478,5,1
133,"32028 Robyn Valleys, Buckridgeview, South Dakota",88,0.22,339,8,6
134,"2927 Schoen Falls, Sipesstad, Maine",54,4.23,330,7,6
135,"60341 Turcotte Mills, South Orrin, Iowa",41,4.30,76,5,3
136,"097 Santos Lodge, Lake Virgil, Arkansas",37,0.99,435,5,4
137,"8086 Denesik Shoals, Nikolausborough, Pennsylvania",24,3.62,467,8,2
138,"402 Lelia Route, Jakubowskimouth, California",27,1.94,92,7,3
139,"16096 Otto Springs, Ledabury, Arkansas",69,1.64,154,9,6
140,"1195 Aubrey Locks, West Darronfurt, Utah",69,3.61,240,9,1
141,"823 Judge Views, Lake Turner, South Carolina",27,4.19,177,8,2
142,"4291 Leda Groves, Lake Kaitlin, Alaska",38,2.62,216,8,5
143,"005 Cordelia Drive, New Emanuelburgh, Missouri",71,0.44,384,8,4
144,"42054 Dusty Burg, Elnatown, Michigan",84,1.38,90,5,3
145,"18574 Amina Road, East Malcolm, Minnesota",90,1.58,397,5,6
146,"178 Theodore Route, Olsonshire, Delaware",30,2.69,93,6,1
147,"2935 Runolfsson Plains, Smithamchester, Massachusetts",45,4.01,350,5,6
148,"086 Braun Neck, Westberg, Rhode Island",86,0.23,469,6,4
149,"6480 Reichert Forest, South Estrella, Tennessee",34,3.17,115,7,1
150,"84888 Paxton Green, Lakinhaven, Virginia",22,0.14,434,9,6
151,"566 Edwin Square, Lulufort, Virginia",39,1.04,57,6,3
152,"3066 Adams Crossroad, Rempelport, Wisconsin",81,0.95,233,6,4
153,"95672 Sally Street, Halietown, Minnesota",24,4.57,382,5,6
154,"56597 Cindy Locks, South Ova, New Jersey",92,0.88,347,6,6
155,"452 Collins Dam, Hermanside, Minnesota",81,4.68,313,7,7
156,"28663 Natalie Garden, East Kenny, Oregon",50,4.41,217,5,6
157,"37182 Goodwin Manors, Lake Anabelle, North Carolina",20,4.83,130,8,3
158,"0088 Reynold Mission, Port Savannahport, Idaho",61,0.92,321,7,4
159,"6476 Howell Glens, Lake Jarrodview, Indiana",71,2.08,450,5,2
160,"825 Considine Plaza, Grahamside, Arkansas",26,2.53,216,6,6
161,"01107 Norval Terrace, Port Elisatown, Wyoming",83,0.27,349,8,5
162,"7261 Steuber Station, Maritzahaven, New York",28,4.51,180,5,7
163,"42403 Damien Valleys, Madiechester, Rhode Island",56,4.46,174,7,4
164,"76626 Albertha Forges, Bauchchester, Pennsylvania",73,2.11,377,8,7
165,"2627 Missouri Lodge, South Abner, Washington",67,0.39,281,6,7
166,"9838 Turner Spring, Powlowskiborough, Ohio",82,3.81,426,9,4
167,"491 Stokes Ports, North Geovannyville, Rhode Island",79,3.07,378,6,1
168,"671 Jade Falls, Port Loyal, Delaware",21,3.87,202,8,7
169,"311 Lehner Spurs, Port Jadonburgh, Louisiana",48,1.96,385,7,1
170,"8103 Stark Mills, Port Jadynshire, Alaska",99,0.17,260,6,4
171,"1588 Mazie Islands, Lubowitzmouth, Texas",81,0.63,456,9,1
172,"060 Rice Estates, Coltonview, Louisiana",36,4.09,459,7,6
173,"276 Weimann Road, Devynbury, Georgia",29,1.15,359,5,7
174,"23925 Adah Isle, Clarabury, Virginia",67,4.43,76,8,7
175,"40180 Howe Haven, North Lisabury, Pennsylvania",73,3.73,408,5,2
176,"5235 Wilkinson Summit, East Karianne, Delaware",23,0.07,452,5,7
177,"84357 Casandra Fort, New Jules, Connecticut",29,3.50,325,5,1
178,"6805 Marquardt Corners, South Theresiatown, Indiana",24,3.77,146,7,3
179,"1654 Jorge Coves, Westonton, Colorado",74,4.95,80,7,4
180,"7633 Emelia Coves, New Ryleeside, Idaho",28,3.72,74,9,3
181,"2365 Earline Point, North Arielle, New York",83,1.73,372,6,2
182,"450 Beahan Haven, Lake Jarrod, Wyoming",93,1.66,167,5,7
183,"6230 Cassandre Brook, Titoborough, Vermont",59,1.87,141,8,1
184,"754 Raynor Radial, Lavernestad, Vermont",36,2.15,299,9,3
185,"56113 Larkin Skyway, Lake Christa, Kansas",46,4.67,147,8,4
186,"962 Erika Ranch, Ethylbury, North Dakota",52,3.89,478,5,5
187,"647 Monserrat Trace, Jeromyside, Vermont",78,1.96,293,5,7
188,"83042 Strosin Roads, Dachbury, Arkansas",65,1.02,338,5,3
189,"016 Pacocha Mills, Alleneport, Missouri",73,4.94,271,5,6
190,"55382 Cielo Flat, Elodyfort, Vermont",44,4.20,160,7,7
191,"8110 Rutherford Place, Addiefort, North Dakota",24,1.95,207,9,1
192,"892 Kennedy Green, Friesenton, Kentucky",66,3.38,396,9,1
193,"3664 Mozelle Lights, Deanborough, South Dakota",25,1.44,57,6,4
194,"1073 Colby Island, Port Percival, Utah",32,0.96,136,8,5
195,"0625 Konopelski Trace, McLaughlinfort, Delaware",70,4.08,224,5,4
196,"4437 Macy Plains, South Felipe, Massachusetts",88,3.15,482,7,2
197,"093 Wolf Islands, Marvinborough, Georgia",87,2.31,55,8,6
198,"125 Mohr Summit, Nathanielville, Nebraska",48,1.47,487,9,3
199,"738 Judson Locks, Lake Junius, Michigan",88,1.71,318,8,5
200,"2274 Waelchi Manor, Eladioborough, South Carolina",49,2.70,235,9,2
201,"141 Demond Turnpike, Destineeberg, Maine",86,4.36,66,9,3
202,"8496 Forrest Inlet, Dorianville, West Virginia",26,4.02,165,7,5
203,"425 Schneider Lakes, Nicholeview, Kentucky",38,0.01,119,6,2
204,"66608 Rylee Mills, Olsonville, Alabama",69,2.97,62,5,4
205,"0846 Bernhard Pine, Port Leslie, Indiana",91,0.64,327,7,5
206,"2370 Robel Unions, South Ova, New Mexico",99,2.02,96,9,7
207,"50422 Fae Unions, New Lillianberg, Michigan",35,0.34,307,9,5
208,"942 Barry Glen, VonRuedenberg, Minnesota",76,4.77,246,6,1
209,"91876 Balistreri Glens, Brookeborough, Indiana",50,2.15,84,5,5
210,"40987 Medhurst Hills, Laurenburgh, Missouri",55,1.68,147,7,1
211,"4207 Irwin Port, Candelariochester, Hawaii",94,3.95,443,6,2
212,"431 Derrick Knolls, Port Daron, Rhode Island",68,4.43,166,5,3
213,"8355 Anderson Mill, Reeseport, Kansas",59,1.06,454,9,4
214,"6690 Pouros Tunnel, Port Eula, Vermont",27,4.04,292,7,6
215,"9623 Leta Parks, South Keely, North Dakota",83,4.45,461,7,4
216,"7105 Osinski Falls, Gerlachport, Massachusetts",54,2.61,342,7,7
217,"78060 Rupert Skyway, Port Alvenaburgh, Colorado",31,3.71,426,6,1
218,"68119 Ashtyn Island, North Garry, Georgia",66,4.10,272,5,7
219,"0605 Robel Islands, Darefurt, Oklahoma",33,3.66,455,8,6
220,"6786 Hessel Canyon, Bartolettichester, South Dakota",87,4.96,489,6,3
221,"8744 Christy Land, North Vicente, Arkansas",62,3.31,262,6,6
222,"404 Kaci Passage, East Marcellaville, Rhode Island",61,4.75,459,8,5
223,"62394 Joy Glens, New Zane, New Hampshire",40,0.92,109,9,3
224,"48194 Remington Islands, Lake Jeffberg, New York",95,2.24,186,9,6
225,"59007 McCullough Loaf, East Jordy, Washington",43,0.54,138,6,5
226,"3346 Aliza Rest, West Pamelahaven, Pennsylvania",36,0.08,57,8,7
227,"39031 Camren Row, East Isabelltown, South Carolina",21,1.30,356,5,5
228,"00851 Yost Freeway, Bodebury, Michigan",90,0.97,455,5,6
229,"633 Emely Parkways, Volkmanmouth, Oklahoma",92,1.76,494,9,6
230,"907 Nicolas Hill, Lake Leonard, Alaska",94,0.70,56,9,4
231,"333 Friesen Junctions, Arelyview, Georgia",43,2.69,466,9,5
232,"524 Abbott Walks, Kimbury, New York",76,4.52,164,7,5
233,"30993 Wilma Cliff, Muellertown, Kansas",76,0.90,392,7,7
234,"106 Alivia Hills, Kellieborough, New Hampshire",66,0.55,230,8,1
235,"9911 O'Kon Ports, Lake Oliver, Wisconsin",48,0.90,171,7,6
236,"676 Kessler Turnpike, Klockoberg, Kansas",76,1.49,92,7,3
237,"98279 Mueller Fork, New Wyman, Mississippi",42,2.90,436,9,2
238,"748 Alicia Crossroad, New Cyrus, Colorado",94,2.00,315,8,1
239,"831 Katelin Crossroad, Alveramouth, Florida",79,2.86,90,9,5
240,"8507 Lempi Ferry, South Lauryn, Iowa",99,3.55,383,9,4
241,"101 Archibald Center, New Marta, Arizona",60,1.56,332,8,6
242,"886 Spencer Ways, Haagburgh, Illinois",64,0.88,282,9,6
243,"74127 Strosin Place, North Magdalenhaven, Illinois",37,2.16,465,5,4
244,"466 Vladimir Street, Port Abbey, New Jersey",86,2.25,263,9,1
245,"2967 Triston Squares, West Claudiemouth, New Jersey",98,0.56,210,6,6
246,"4253 Schultz Mill, New Braden, Kentucky",30,0.43,422,7,3
247,"45331 Marlin Lights, West Filomenaland, New York",23,0.78,184,8,4
248,"7721 Huel Alley, South Jennie, Ohio",92,1.52,144,8,6
249,"600 Crystal Groves, New Jaquanport, Utah",82,3.10,488,6,6
250,"7803 Amparo Lane, South Lilianabury, Oklahoma",38,0.50,490,6,2
251,"5378 Macejkovic Valleys, Jaceymouth, Indiana",79,0.17,230,7,4
252,"6897 Emelie Course, New Emerald, Illinois",21,2.45,93,8,5
253,"91302 Laurianne Ferry, Klingstad, Iowa",71,2.83,333,6,7
254,"917 Luther Key, Gulgowskichester, Utah",37,0.56,477,8,1
255,"6061 Klein Avenue, New Loraineville, Colorado",42,4.43,190,7,7
256,"4356 Blair Mall, Cameronfurt, Colorado",88,0.35,305,7,5
257,"32272 Angelina Square, East Aracelyfurt, Utah",85,2.40,161,5,5
258,"682 Murphy Shores, Lake Candidobury, Alabama",54,2.79,131,9,1
259,"9604 Skiles Station, Funkborough, South Dakota",22,2.68,440,7,4
260,"05891 Moen Viaduct, Vonton, Ohio",22,2.59,157,8,2
261,"9031 Boehm Via, Runolfssonmouth, Delaware",65,3.08,368,5,7
262,"2007 Brekke Avenue, Heaneyton, South Dakota",53,3.99,433,9,1
263,"1370 Leffler Forks, Traceport, Oklahoma",93,2.22,334,7,3
264,"052 Eusebio Hills, Jackyland, Tennessee",95,1.37,291,8,6
265,"819 Conn Unions, Port Brennanshire, Kentucky",71,0.15,438,8,4
266,"252 Turner Expressway, Schmelerside, Pennsylvania",51,2.62,427,7,1
267,"67712 Schultz Locks, North Aiyanafort, Hawaii",81,0.66,337,6,5
268,"06522 Dare Walk, Alphonsoburgh, New Hampshire",94,2.49,322,7,1
269,"37002 Mae Port, Lake Shayne, North Dakota",49,1.90,488,8,2
270,"76465 Dallas Island, East Cindy, Connecticut",30,2.55,378,9,6
271,"81229 Raynor Creek, Lake Careyside, Mississippi",77,1.36,161,5,7
272,"091 Vaughn Burg, Mertztown, Michigan",36,3.76,52,6,4
273,"2582 Abbott Branch, Ervinton, California",87,3.32,276,8,3
274,"72192 Name Forks, South Nevachester, Missouri",37,0.65,417,6,6
275,"61518 Carroll Forges, North Rettatown, Kentucky",87,3.18,374,7,5
276,"0655 Steuber Lake, Abelmouth, Wisconsin",31,4.72,165,5,4
277,"337 Dedrick Valley, Lake Demond, Alaska",25,0.03,351,9,4
278,"52600 Walsh Ranch, Flofort, Arkansas",62,1.70,404,7,3
279,"77627 Ernie Point, Connellyville, Louisiana",69,2.02,361,8,4
280,"15113 Alfonso Center, Friesenport, Louisiana",53,1.36,431,9,1
281,"5174 Torp Brooks, Bashirianburgh, Florida",82,3.22,89,5,4
282,"0902 Hansen Highway, Pfannerstillton, Massachusetts",29,0.41,276,7,7
283,"9222 Lilian Road, Kalebbury, Michigan",22,1.21,302,5,4
284,"05290 Mitchell Square, Port Lelandberg, Arkansas",40,3.89,335,8,5
285,"02050 Crooks Radial, Ardellaburgh, New Mexico",92,3.37,421,6,4
286,"95774 Jerald Ville, Lake Rowland, Delaware",52,3.35,242,5,4
287,"2045 Aracely Summit, North Kiraside, Nevada",52,1.43,273,9,2
288,"245 Jade Burg, Port Timmyburgh, North Carolina",54,1.61,351,5,7
289,"0351 Sven Landing, West Reedfort, Georgia",46,0.08,375,7,3
290,"670 Cole Branch, Port Malvinafurt, Kansas",31,4.14,202,9,4
291,"8635 Robel Trail, New Coleshire, South Dakota",77,2.27,100,7,3
292,"6712 Halvorson Neck, Zacherytown, California",52,3.91,375,5,2
293,"1991 Hahn Neck, Iciemouth, Ohio",54,0.78,268,6,6
294,"3487 Brandyn Summit, Markstown, Vermont",25,4.13,416,9,1
295,"315 Shanel Stream, Manteville, Iowa",79,1.55,75,8,1
296,"053 Gusikowski Flat, Tomaston, West Virginia",96,1.28,190,7,2
297,"86239 Williamson Greens, Gislasonburgh, Georgia",76,4.63,274,9,4
298,"17237 Jacinto Port, Maddisonland, Colorado",34,2.69,497,9,7
299,"114 Parisian Trace, Lake Phyllisfort, Massachusetts",93,1.21,457,5,4
300,"2021 Rippin Port, Hermistonfurt, Arkansas",41,2.89,329,6,4
301,"00345 Feil Mountains, Klockostad, Virginia",44,1.21,270,8,1
302,"880 Constance Trail, Litzyberg, California",26,3.51,241,5,7
303,"1624 Brionna Fields, West Macyburgh, Hawaii",83,3.51,415,6,2
304,"2501 Marvin Burg, Port Kailynmouth, South Carolina",86,0.12,290,9,5
305,"0328 Herman Drives, Port Constantin, Maryland",21,2.87,147,9,1
306,"32578 Mallory Hill, New Maddisonstad, Alaska",45,0.08,299,5,5
307,"0449 Dibbert Glens, West Brookebury, Rhode Island",63,4.46,499,8,5
308,"400 Towne Brooks, Port Kraigshire, New Mexico",62,4.45,484,5,1
309,"235 Bashirian Springs, Minervaville, Hawaii",62,0.50,369,7,3
310,"64733 Bernier Valley, East Ismael, Arizona",76,0.46,235,5,7
311,"84204 Schmidt Cliffs, Port Gabrielletown, Connecticut",28,1.32,448,9,7
312,"71110 Cassandre Lake, West Annamarieton, Illinois",99,4.44,114,5,6
313,"565 Thompson Orchard, New Molly, Indiana",27,1.89,475,5,4
314,"7227 Roob Bridge, West Kassandrastad, Connecticut",35,2.82,249,8,2
315,"0714 Adams Coves, Lakinshire, North Carolina",88,1.23,173,6,2
316,"00763 Casper Lock, Lake Linneaburgh, Idaho",57,0.84,233,7,2
317,"828 Spinka Hollow, Elfriedaberg, Alabama",84,2.89,107,9,6
318,"3398 Franecki Squares, East Thaddeustown, Washington",78,4.87,95,8,7
319,"07260 Mandy Parkway, Jasminburgh, Maine",98,2.78,82,7,1
320,"7681 Savion Canyon, New Jessika, Texas",46,3.97,305,8,6
321,"858 Jon Plaza, West Lelahborough, Pennsylvania",22,2.94,323,9,1
322,"5400 Huel Plains, Ottisview, Vermont",62,3.92,139,8,2
323,"77586 Sanford Walk, Kossborough, Vermont",76,4.33,213,5,6
324,"552 Madisyn Brooks, East Eudora, Florida",94,0.05,116,8,1
325,"73182 Bernhard Glen, South Elijahville, North Dakota",64,3.82,263,5,3
326,"200 Jayne Lights, East Wilfredo, Iowa",72,3.25,71,7,3
327,"1794 Presley Mountains, Marisolbury, Alabama",52,0.76,475,7,4
328,"060 Purdy Village, East Joanyfort, New Jersey",69,2.36,168,6,5
329,"728 Daugherty Streets, Lavinastad, Maine",81,4.75,316,5,7
330,"76732 Gusikowski Mews, Port Kayleebury, Massachusetts",96,3.79,328,8,7
331,"8706 Koepp Causeway, Gerholdborough, Tennessee",36,4.20,432,6,2
332,"390 Emely Vista, East Maybellfort, Vermont",87,2.86,331,7,5
